id,time,director,star,cost
2692,"2 hours, 6 minutes",Michael Cristofer,"Angelina Jolie, Elizabeth Mitchell","Buy HD $9.99,Buy SD $9.99,"
2693,"2 hours, 1 minute",David Lynch,"Isabella Rossellini, Kyle MacLachlan","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $7.99,"
2694,"1 hour, 58 minutes",David Gordon Green,"Nicolas Cage, Tye Sheridan","Buy HD $16.99,Buy SD $15.99,"
2695,"1 hour, 44 minutes",Alexandra-Therese Keining,"Ruth Vega Fernandez, Liv Mjönes","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $4.99,"
2696,"1 hour, 37 minutes",Michael Verhoeven,"Myriam Arani,Hannes Heer",
2697,"1 hour, 44 minutes",Robert Henderson,"Kierney Nelson,Adam Vernier","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $14.99,"
2698,"1 hour, 38 minutes",Henry King,"Gregory Peck, Joan Collins","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
2699,"1 hour, 11 minutes",Carolin Von Petzholdt,"Runa Aléon,Natascha Berg","Rent SD $1.99,Buy HD $7.99,Buy SD $6.99,"
2700, 129 minutes ,John Ford,John Wayne,$14.99 
2701,"2 hours, 1 minute",John Dahl,"Matt Damon, Gretchen Mol","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $5.99,"
2702,"1 hour, 54 minutes",Lee Young-mi,"Jang Seo-hee,Jeong Suk Won","Buy SD $6.99,"
2703,"1 hour, 28 minutes",Courtney Daniels,"Cate Beehan, Eric Callero","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $6.99,"
2704,"1 hour, 59 minutes",Thomas Vinterberg,"Carey Mulligan, Matthias Schoenaerts","Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $14.99,"
2705,"1 hour, 35 minutes",Wai-Keung Lau,"Justin Chon, Kevin Wu","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2706,"1 hour, 30 minutes",Terry Ingram,"Erin Karpluk, Michael Shanks","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
2707,"1 hour, 34 minutes",Oliver Parker,"Rupert Everett, Colin Firth","Rent HD $3.99,Rent SD $2.99,Buy HD $11.99,Buy SD $9.99,"
2708,"1 hour, 52 minutes",Daniel Augusto,"Júlio Andrade, Ravel Andrade","Rent HD $4.99,Rent SD $3.99,Buy HD $19.99,Buy SD $14.99,"
2709,"1 hour, 46 minutes",Zev Berman,"Brian Presley, Rider Strong","Rent HD $3.99,Rent SD $2.99,Buy HD $5.99,Buy SD $4.99,"
2710,"1 hour, 35 minutes",Steven Jacobson,"Kenny Wormald, Rachele Brooke Smith","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $7.99,"
2711,"2 hours, 13 minutes",Clint Eastwood,"Bradley Cooper, Kyle Gallner","Buy HD $19.99,Buy SD $14.99,"
2712,"1 hour, 51 minutes",Samir,"Julie Fournier, Carlos Leal","Buy SD $9.99,"
2713, 2952 minutes ,Bryan Cranston,Bryan Cranston,$70.49 
2714,"1 hour, 31 minutes",Sofia Coppola,"Katie Chang, Israel Broussard","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2715,"2 hours, 3 minutes",John Madden,"Dev Patel, Maggie Smith","Rent HD $5.99,Rent SD $4.99,Buy HD $9.99,Buy SD $9.99,"
2716,"1 hour, 46 minutes",J.C. Chandor,Robert Redford,"Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $12.99,"
2717, 116 minutes ,Guy Ritchie,Henry Cavill,$18.78 
2718,"1 hour, 45 minutes",Doug Ellin,"Kevin Connolly, Adrian Grenier","Rent HD $4.99,Rent SD $3.99,Buy HD $19.99,Buy SD $14.99,"
2719,"1 hour, 31 minutes",Ryan Little,"Corbin Allred, Alexander Polinsky","Buy SD $9.99,"
2720,"1 hour, 41 minutes",Jeremy Gardner,"Jeremy Gardner, Adam Cronheim","Rent HD $2.99,Rent SD $1.99,Buy HD $4.99,Buy SD $4.99,"
2721,"1 hour, 43 minutes",David Michôd,"Guy Pearce, Chan Kien","Rent HD $3.99,Rent SD $2.99,Buy HD $7.88,Buy SD $7.88,"
2722,"1 hour, 31 minutes",Tommy Lee Jones,"Samuel L. Jackson, Tommy Lee Jones","Buy SD $14.99,"
2723,"1 hour, 50 minutes",Rob Reiner,"Morgan Freeman, Kenan Thompson","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2724,"1 hour, 24 minutes",Brian Dannelly,"Rebel Wilson, Chris Colfer","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
2725,"1 hour, 40 minutes",Quentin Tarantino,"Harvey Keitel, Tim Roth","Rent HD $3.99,Rent SD $2.99,Buy HD $18.99,Buy SD $17.99,"
2726,"1 hour, 28 minutes",Conor McPherson,"Billy Roche, Eanna Hardwicke","Rent HD $3.99,Rent SD $2.99,Buy HD $4.99,Buy SD $4.99,"
2727,"1 hour, 18 minutes",Ross Katz,"Kevin Bacon, Tom Aldredge","Buy HD $12.99,Buy SD $9.99,"
2728,"1 hour, 52 minutes",Patricia Rozema,"Hannah Taylor Gordon, Talya Gordon","Rent HD $3.99,Rent SD $2.99,Buy HD $18.99,Buy SD $17.99,"
2729,"1 hour, 35 minutes",A.J. Edwards,"Jason Clarke, Diane Kruger","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
2730, 112 minutes ,Lee Toland Krieger,Blake Lively,$11.00 
2731,"1 hour, 22 minutes",Christophe Blanc,"Mercedes Cecchetto, Laura Locatelli","Buy SD $9.99,"
2732,"1 hour, 42 minutes",Melissa Martin,"Scott Baio, John Seitz","Buy SD $3.99,"
2733,"1 hour, 30 minutes",Beryl Koltz,"Rob Stanley, Joanna Scanlan","Buy SD $7.99,"
2734,"1 hour, 49 minutes",Justin Benson,"Lou Taylor Pucci, Nadia Hilker","Rent HD $4.99,Rent SD $3.99,Buy HD $4.99,Buy SD $6.99,"
2735,"1 hour, 43 minutes",Tony McNamara,"Mickey Rourke,Nat Wolff","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $12.99,"
2736, 172 minutes ,George Cukor,Audrey Hepburn,$35.99 
2737,"1 hour, 41 minutes",Sloane U'Ren,"Henry Lloyd-Hughes, Camilla Rutherford","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2738,"1 hour, 16 minutes",Christopher R. Smith,"David Christian Welborn, Noelle DuBois","Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $7.99,"
2739,"3 hours, 21 minutes",Marc Evans,"Douglas Henshall, Dean Lennox Kelly","Buy SD $14.99,"
2740,"2 hours, 9 minutes",Guillaume Canet,"Clive Owen, Billy Crudup","Buy HD $14.99,Buy SD $13.99,"
2741,"1 hour, 31 minutes",Gary Lundgren,"Shirley Knight, Tom Skerritt","Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
2742,"1 hour, 29 minutes",Mark Neveldine,"Jason Statham, Amy Smart","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $13.99,"
2743,"1 hour, 29 minutes",Brian Brough,"Brad Johnson, Brian McNamara","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
2744,"1 hour, 57 minutes",Jaco Smit,"Ivan Botha, DonnaLee Roberts","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $6.99,"
2745,"1 hour, 37 minutes",Abderrahmane Sissako,"Ibrahim Ahmed, Abel Jafri","Rent HD $3.99,Rent SD $2.99,Buy HD $7.88,Buy SD $5.00,"
2746,"1 hour, 41 minutes",Unavailable,Unavailable,"Buy SD $11.99,"
2747,"1 hour, 51 minutes",Quentin Tarantino,"Uma Thurman, Lucy Liu","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2748,"1 hour, 21 minutes",Travis Cluff,"Reese Mishler, Pfeifer Brown","Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $9.99,"
2749,"1 hour, 36 minutes",Frank Pierson,"Kenneth Branagh, Clare Bullus","Buy HD $9.99,Buy SD $9.99,"
2750,"1 hour, 30 minutes",William Savage,"Josh Pence, Spencer Grammer","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2751,"1 hour, 49 minutes",Sarah Polley,"Michael Polley, Harry Gulkin","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $12.99,"
2752,"1 hour, 35 minutes",Philippe Caland,"Forest Whitaker, Anthony Mackie","Buy HD $14.99,Buy SD $12.99,"
2753,"2 hours, 9 minutes",James Kent,"Alicia Vikander,Kit Harington","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $13.99,"
2754,"1 hour, 44 minutes",Bill Condon,"Ian McKellen, Laura Linney","Buy HD $19.99,Buy SD $17.99,"
2755,"1 hour, 39 minutes",François Ozon,"Margot Abascal,Pascale Arbillot","Buy SD $9.99,"
2756,"1 hour, 32 minutes",John Cameron Mitchell,"Nicole Kidman, Aaron Eckhart","Rent HD $3.99,Rent SD $2.99,Buy HD $11.99,Buy SD $9.99,"
2757,47 minutes,Not Available,Not Available,"Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
2758,"2 hours, 14 minutes",Jonathan Ehlers,"Richard Fiske, Tyler Noble","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
2759,"1 hour, 42 minutes",Geoffrey Sax,"Halle Berry, Stellan Skarsgård","Buy HD $14.99,Buy SD $12.99,"
2760, 104 minutes ,Bill Condon,Ian McKellen,$10.75 
2761,"1 hour, 42 minutes",Ron Krauss,"Rosario Dawson, Brendan Fraser","Buy HD $18.99,Buy SD $17.99,"
2762,"1 hour, 24 minutes",Phil Alden Robinson,"Robin Williams, Mila Kunis","Buy HD $14.99,Buy SD $12.99,"
2763,"1 hour, 35 minutes",Adam Wingard,"Sharni Vinson, Nicholas Tucci","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
2764,"1 hour, 39 minutes",Terence Davies,"Ann Mitchell, Jolyon Coy","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
2765,"1 hour, 30 minutes",Lou Howe,"Rory Culkin, Emily Meade","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $12.99,"
2766,"1 hour, 50 minutes",Saul Dibb,"Keira Knightley, Ralph Fiennes","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
2767,"1 hour, 52 minutes",Jason Reitman,"Kate Winslet, Josh Brolin","Buy HD $12.99,Buy SD $12.99,"
2768,"1 hour, 47 minutes",Woody Allen,"Barbara Hershey, Carrie Fisher","Rent HD $4.99,Rent SD $3.99,Buy HD $19.99,Buy SD $14.99,"
2769,,Clint Eastwood,Bradley Cooper,$11.99 
2770,"1 hour, 45 minutes",Darren Paul Fisher,"Daniel Fraser, Eleanor Wyld","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
2771,"2 hours, 7 minutes",Gus Van Sant,"Matt Damon, Robin Williams","Buy HD $6.99,Buy SD $6.99,"
2772,"1 hour, 41 minutes",Mike Phillips,"Bug Hall, Donnie Jeffcoat","Rent SD $1.99,Buy HD $8.99,Buy SD $7.99,"
2773,"2 hours, 1 minute",Emilio Estevez,"Martin Sheen, Emilio Estevez","Rent HD $2.99,Rent SD $1.99,Buy HD $7.99,Buy SD $4.99,"
2774,,Gregory Jacobs,Channing Tatum,$18.99 
2775,"1 hour, 39 minutes",Colm McCarthy,"Michael Matus, John Light","Buy SD $2.99,"
2776,"1 hour, 49 minutes",Luc Besson,"Jean Reno, Gary Oldman","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2777,"1 hour, 40 minutes",Brian Trenchard-Smith,"Andrew McCarthy, Paul Sorvino","Buy SD $9.99,"
2778,"1 hour, 44 minutes",Sara Colangelo,"Elizabeth Banks, Boyd Holbrook","Rent HD $3.99,Rent SD $2.99,Buy HD $11.99,Buy SD $9.99,"
2779,"1 hour, 52 minutes",Tyler Perry,"Nia Long,Amy Smart","Buy HD $13.99,Buy SD $12.99,"
2780,"1 hour, 32 minutes",Uberto Pasolini,"Eddie Marsan, Joanne Froggatt","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
2781,"1 hour, 49 minutes",Alex Garland,"Alicia Vikander,Domhnall Gleeson","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2782,"2 hours, 6 minutes",Sam Taylor-Johnson,"Dakota Johnson, Jamie Dornan","Buy HD $14.99,Buy SD $14.99,"
2783,"1 hour, 47 minutes",Charlie Stratton,"Elizabeth Olsen, Oscar Isaac","Buy HD $14.99,Buy SD $12.99,"
2784,"1 hour, 50 minutes",Anna Boden,"Ben Mendelsohn,Ryan Reynolds","Rent HD $6.99,Rent SD $6.99,Buy HD $14.99,Buy SD $12.99,"
2785,"1 hour, 37 minutes",Robert Kurtzman,"Sean Patrick Flanery, Joe Pantoliano","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
2786,"1 hour, 27 minutes",Lauren Himmel,"Angie Redman, Nina Landey","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
2787,"1 hour, 43 minutes",Andrew C. Erin,"Cameron Bancroft, Bellamy Young","Rent SD $1.99,Buy HD $4.99,Buy SD $3.99,"
2788,"2 hours, 9 minutes",Sam Taylor-Johnson,"Dakota Johnson, Jamie Dornan","Buy HD $14.99,Buy SD $14.99,"
2789,"1 hour, 25 minutes",Steven Knight,"Tom Hardy, Olivia Colman","Rent HD $3.99,Rent SD $2.99,Buy HD $7.88,Buy SD $7.88,"
2790,"2 hours, 9 minutes",George Tillman Jr.,"Britt Robertson, Scott Eastwood","Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $14.99,"
2791,,Various,Various,$67.42 
2792,"2 hours, 35 minutes",Quentin Tarantino,"Tim Roth, Amanda Plummer","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $7.99,"
2793,"1 hour, 49 minutes",Jonathan Glazer,"Scarlett Johansson, Jeremy McWilliams","Rent HD $3.99,Rent SD $2.99,Buy HD $7.88,Buy SD $7.88,"
2794, 218 minutes ,Joel Edgerton,Jason Bateman,$18.64 
2795,"1 hour, 31 minutes",Julio DePietro,"Alexis Bledel, Anna Chlumsky","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $5.99,"
2796,"1 hour, 41 minutes",Benoît Jacquot,"Léa Seydoux, Diane Kruger","Rent HD $2.99,Rent SD $1.99,Buy HD $12.99,Buy SD $9.99,"
2797,"2 hours, 28 minutes",Francis Ford Coppola,"Marlon Brando, Martin Sheen","Rent HD $3.99,Rent SD $2.99,Buy HD $7.88,Buy SD $5.00,"
2798,"2 hours, 4 minutes",Stephen Daldry,"Ralph Fiennes, Jeanette Hain","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $6.99,"
2799,"1 hour, 46 minutes",Joshua Demers,Benjamin Blais,"Rent SD $1.99,Buy HD $12.99,Buy SD $9.99,"
2800,"1 hour, 37 minutes",Sam Jaeger,"Amber Jaeger, Sam Jaeger","Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
2801,"2 hours, 4 minutes",Marc Forster,"Brad Pitt, Mireille Enos","Buy HD $9.99,Buy SD $6.99,"
2802,"1 hour, 45 minutes",Cameron Crowe,"Bradley Cooper, Emma Stone","Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $12.99,"
2803,"1 hour, 38 minutes",Eric Heisserer,"Paul Walker, Genesis Rodriguez","Buy HD $9.99,Buy SD $7.99,"
2804,"2 hours, 51 minutes",Martin Scorsese,"Leonardo DiCaprio, Cate Blanchett","Buy HD $12.99,Buy SD $9.99,"
2805,"1 hour, 44 minutes",Rick Famuyiwa,"Shameik Moore,Tony Revolori","Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $14.99,"
2806,"1 hour, 12 minutes",Curt Geda,"Justin Gross, Grey Griffin","Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
2807, 147 minutes ,David Lynch,Naomi Watts,$27.99 
2808,"1 hour, 25 minutes",Gillian Robespierre,"Jenny Slate, Paul Briganti","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2809,"2 hours, 17 minutes",Edward Zwick,"Daniel Craig, Liev Schreiber","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
2810,"1 hour, 51 minutes",Fernando Meirelles,"Lucia Siposová, Gabriela Marcinková","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
2811,"1 hour, 29 minutes",Kate Barker-Froyland,"Anne Hathaway, Mary Steenburgen","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
2812,"1 hour, 59 minutes",Steven Soderbergh,"Matt Damon, Scott Bakula","Buy HD $19.99,Buy SD $14.99,"
2813,"1 hour, 45 minutes",Denis Villeneuve,"Jake Gyllenhaal, Mélanie Laurent","Rent HD $3.99,Rent SD $2.99,Buy HD $7.88,Buy SD $7.88,"
2814,"1 hour, 48 minutes",Israel Horovitz,"Kevin Kline, Michael Burstin","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2815,"2 hours, 36 minutes",Clint Eastwood,"John Cusack, Kevin Spacey","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2816,"1 hour, 56 minutes",Fred Schepisi,"Clive Owen, Juliette Binoche","Buy HD $14.99,Buy SD $12.99,"
2817,"2 hours, 38 minutes",Martin Brest,"Al Pacino, Chris O'Donnell","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2818,"1 hour, 45 minutes",Shona Auerbach,"Emily Mortimer, Jack McElhone","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $5.99,"
2819,"2 hours, 4 minutes",Nicholas Hytner,"Daniel Day-Lewis, Winona Ryder","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
2820,"1 hour, 50 minutes",Julius Avery,"Ewan McGregor, Brendan Kerkvliet","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2821,"2 hours, 18 minutes",Darren Aronofsky,"Russell Crowe, Jennifer Connelly","Buy HD $14.99,Buy SD $9.99,"
2822,"1 hour, 48 minutes",Arthur Allan Seidelman,"Gena Rowlands, Cheyenne Jackson","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
2823,"1 hour, 45 minutes",Shari Springer Berman,"Scarlett Johansson, Donna Murphy","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $6.99,"
2824,"1 hour, 42 minutes",Doug Lefler,"Colin Firth, Ben Kingsley","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $6.99,"
2825,"1 hour, 46 minutes",Bille Woodruff,"Boris Kodjoe, Brandon Gonzales","Buy HD $13.99,Buy SD $12.99,"
2826,"1 hour, 41 minutes",Daniel Schechter,"Jennifer Aniston, Yasiin Bey","Buy HD $14.99,Buy SD $12.99,"
2827,"1 hour, 30 minutes",Andrew Fleming,"Evan Rachel Wood, Scott Speedman","Buy HD $14.99,Buy SD $12.99,"
2828,"1 hour, 33 minutes",Richie Mehta,"John Paul Ruttan, Rufus Sewell","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $7.99,"
2829, 123 minutes ,Antoine Fuqua,Jake Gyllenhaal,$17.92 
2830,"1 hour, 34 minutes",Craig Johnson,"Bill Hader, Kristen Wiig","Buy HD $14.99,Buy SD $12.99,"
2831,"1 hour, 36 minutes",James Ponsoldt,"Miles Teller, Shailene Woodley","Rent HD $4.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
2832,,Peter Jackson,Ian McKellen,$27.80 
2833,"1 hour, 37 minutes",Adam Carolla,"Larry Clarke, Jonathan Klein","Rent HD $4.99,Rent SD $3.99,Buy HD $13.99,Buy SD $9.99,"
2834,"1 hour, 34 minutes",Harmony Korine,"James Franco, Selena Gomez","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2835, 105 minutes ,Kenneth Branagh,Cate Blanchett,$22.99 
2836,"1 hour, 49 minutes",Justin Simien,"Tyler James Williams, Tessa Thompson","Buy HD $14.99,Buy SD $12.99,"
2837,"2 hours, 44 minutes",Roland Emmerich,"Mel Gibson, Heath Ledger","Buy HD $12.99,Buy SD $7.99,"
2838,"1 hour, 40 minutes",Kirk Jones,"Robert De Niro, Drew Barrymore","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
2839,"2 hours, 10 minutes",Michael Bay,"Mark Wahlberg, Dwayne Johnson","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $12.99,"
2840,"1 hour, 53 minutes",Lee Toland Krieger,"Blake Lively, Michiel Huisman","Rent HD $4.99,Rent SD $3.99,Buy HD $19.99,Buy SD $17.99,"
2841,"1 hour, 24 minutes",John Maclean,"Kodi Smit-McPhee, Michael Fassbender","Rent HD $4.99,Rent SD $3.99,Buy HD $11.99,Buy SD $10.99,"
2842,"1 hour, 50 minutes",Jake Schreier,"Nat Wolff,Cara Delevingne","Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $14.99,"
2843,"1 hour, 46 minutes",Scott Walker,"Nicolas Cage, Vanessa Hudgens","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $12.99,"
2844,"1 hour, 34 minutes",Anders Morgenthaler,"Kim Basinger,Jordan Prentice","Rent HD $4.99,Rent SD $3.99,"
2845,"1 hour, 54 minutes",Harold Cronk,"Kevin Sorbo, Shane Harper","Buy HD $14.99,Buy SD $12.99,"
2846,"1 hour, 38 minutes",Brian Klugman,"Dennis Quaid, John Hannah","Rent HD $4.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2847,"2 hours, 5 minutes",J.C. Chandor,"Oscar Isaac, Elyes Gabel","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $12.99,"
2848,"2 hours, 9 minutes",Wolfgang Petersen,"Clint Eastwood, John Malkovich","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2849,"1 hour, 40 minutes",Brian Falk,"Garret Dillahunt, Tom Felton","Rent HD $4.99,Rent SD $3.99,Buy HD $7.99,Buy SD $7.99,"
2850,"1 hour, 51 minutes",Martin McDonagh,"Michael Pitt, Michael Stuhlbarg","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2851,"1 hour, 38 minutes",Noah Baumbach,"Naomi Watts, Ben Stiller","Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $12.99,"
2852,"1 hour, 49 minutes",Michel Gondry,"Jim Carrey, Kate Winslet","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2853,"1 hour, 50 minutes",Paul McGuigan,"Josh Hartnett, Bruce Willis","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $6.99,"
2854,"1 hour, 56 minutes",Gregory Jacobs,"Channing Tatum, Juan Piedrahita","Rent HD $4.99,Rent SD $3.99,Buy HD $19.99,Buy SD $14.99,"
2855,"2 hours, 3 minutes",Antoine Fuqua,"Jake Gyllenhaal, Rachel McAdams","Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $12.99,"
2856,"1 hour, 48 minutes",Joel Edgerton,"Jason Bateman,Rebecca Hall","Rent SD $4.99,Buy HD $14.99,Buy SD $14.99,"
2857,"2 hours, 0 minutes",Andrea Di Stefano,"Benicio Del Toro, Josh Hutcherson",
2858,"1 hour, 56 minutes",Marc Forster,"Brad Pitt, Mireille Enos","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $6.99,"
2859,"1 hour, 32 minutes",John Irvin,"Ron Eldard, Zak Orth","Buy SD $9.99,"
2860,"1 hour, 48 minutes",Lasse Hallström,"Robert Redford, Jennifer Lopez","Rent HD $3.99,Rent SD $2.99,Buy HD $16.99,Buy SD $15.99,"
2861,"1 hour, 53 minutes",Atom Egoyan,"Kevin Durand, Alexia Fast","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $12.99,"
2862,"3 hours, 0 minutes",Martin Scorsese,"Leonardo DiCaprio, Jonah Hill","Buy HD $14.99,Buy SD $12.99,"
2863,"1 hour, 38 minutes",Tony Goldwyn,"Ashley Judd, Greg Kinnear","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
2864,"1 hour, 47 minutes",R.J. Cutler,"Chloë Grace Moretz, Mireille Enos","Buy HD $14.99,Buy SD $12.99,"
2865,"2 hours, 0 minutes",Jason Reitman,"Adam Sandler, Jennifer Garner","Buy HD $19.99,Buy SD $14.99,"
2866,"1 hour, 48 minutes",Roger Michell,"Rachel McAdams, Noah Bean","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2867,"2 hours, 26 minutes",Francis Lawrence,"Jennifer Lawrence, Liam Hemsworth","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $12.99,"
2868,"1 hour, 54 minutes",Gilles Paquet-Brenner,"Charlize Theron, Sterling Jerins","Rent HD $4.99,Rent SD $3.99,Buy HD $7.88,Buy SD $7.88,"
2869, 120 minutes ,Pete Docter,Amy Poehler,$19.98 
2870,"2 hours, 4 minutes",Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard","Rent HD $5.99,Rent SD $4.99,Buy HD $19.99,Buy SD $19.99,"
2872, 105 minutes ,Tim Burton,Anthony Michael Hall,$11.60 
2873,"1 hour, 27 minutes",Brett Eichenberger,"Cameron Deane Stewart, Savannah McReynolds","Rent HD $5.99,Rent SD $4.99,Buy HD $11.99,Buy SD $10.99,"
2874,"1 hour, 47 minutes",Robert Markowitz,"Laurence Fishburne, Allen Payne","Buy HD $9.99,Buy SD $9.99,"
2875, 138 minutes ,Angelina Jolie,Jack O'Connell,$10.87 
2876,"1 hour, 40 minutes",Wes Anderson,"Ralph Fiennes, F. Murray Abraham","Buy HD $9.99,Buy SD $14.99,"
2877,"2 hours, 2 minutes",Catherine Hardwicke,"Kristen Stewart, Sarah Clarke","Buy HD $18.99,Buy SD $17.99,"
2878,"1 hour, 45 minutes",Alberto Rodríguez,"Valeria Alonso, Pablo Baena","Buy SD $9.99,"
2879,"1 hour, 20 minutes",Alan Badoev,"Aleksey Chadov, Olga Makeeva","Buy SD $6.99,"
2880, 110 minutes ,Steven Soderbergh,Channing Tatum,$5.00 
2881,"1 hour, 35 minutes",Woody Allen,"Owen Wilson, Rachel McAdams","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
2882, 105 minutes ,Cameron Crowe,Bradley Cooper,$11.00 
2883,"2 hours, 23 minutes",Baz Luhrmann,"Lisa Adam, Frank Aldridge","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2884,"1 hour, 36 minutes",Byron Q.,"Wade Allain-Marcus,Christina Bocanegra","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
